iter	Logloss
0	0.6508767527
1	0.612869311
2	0.5799590314
3	0.5484888167
4	0.5229558357
5	0.4982534167
6	0.4783672424
7	0.4596674401
8	0.4444804257
9	0.4302365414
10	0.4163738056
11	0.4033166215
12	0.3923811101
13	0.3830036227
14	0.3761001426
15	0.3682985809
16	0.3614627551
17	0.3553222938
18	0.3495761728
19	0.3449626561
20	0.3399449725
21	0.3362918321
22	0.3328355774
23	0.3295546853
24	0.326588115
25	0.3231702101
26	0.3203419997
27	0.3183196271
28	0.3161194425
29	0.3140260323
30	0.3124157949
31	0.3109025941
32	0.3094843563
33	0.3081086601
34	0.3066522708
35	0.3055391247
36	0.3037368546
37	0.3029655651
38	0.3016822763
39	0.3010237305
40	0.2999199904
41	0.299011717
42	0.2980483145
43	0.2973956469
44	0.2962129083
45	0.295774951
46	0.2948631152
47	0.294198019
48	0.2938695205
49	0.293184122
50	0.2924722632
51	0.291985868
52	0.2911249187
53	0.2905744491
54	0.2901761536
55	0.289856672
56	0.2895595193
57	0.2892691308
58	0.2890073985
59	0.2885966009
60	0.2880666558
61	0.2879464806
62	0.2875728042
63	0.2871122946
64	0.2870954094
65	0.2867756261
66	0.2864838452
67	0.2862904681
68	0.2857979009
69	0.285329262
70	0.2851278382
71	0.2849789212
72	0.2847506497
73	0.284342831
74	0.2843226058
75	0.2840591033
76	0.2838799313
77	0.2835674599
78	0.2832911631
79	0.2831521673
80	0.2828634772
81	0.282565378
82	0.2825443605
83	0.2822480325
84	0.2822470708
85	0.2818223479
86	0.2817333395
87	0.2815060206
88	0.2814247089
89	0.2813579847
90	0.2811540444
91	0.2809961888
92	0.2806892014
93	0.2802986284
94	0.2802874162
95	0.2802767498
96	0.2797523898
97	0.2793986511
98	0.2789517125
99	0.2788939841
100	0.2788404794
101	0.2787398787
102	0.2785794919
103	0.278402162
104	0.2784020156
105	0.2781545492
106	0.2780599772
107	0.2778240288
108	0.2776571257
109	0.2776050928
110	0.2775914658
111	0.2774490195
112	0.2773885521
113	0.2770855203
114	0.2770794953
115	0.2770516102
116	0.2770027802
117	0.2770027792
118	0.2769296082
119	0.2768660586
120	0.2768660564
121	0.2767635994
122	0.2764787511
123	0.2763713688
124	0.2761853057
125	0.2761174154
126	0.2760197961
127	0.2755413823
128	0.2754644655
129	0.2753372607
130	0.275326493
131	0.2749725379
132	0.2747185329
133	0.2746565339
134	0.274573332
135	0.2743573027
136	0.27427159
137	0.2742338622
138	0.2740600484
139	0.2739776819
140	0.2738894096
141	0.2737166529
142	0.2735099006
143	0.2734581948
144	0.2733468658
145	0.2731794308
146	0.2729255346
147	0.272735729
148	0.2725475981
149	0.2723540488
150	0.2722050873
151	0.272047204
152	0.2717559144
153	0.2715749214
154	0.2715408053
155	0.2714553934
156	0.2713042122
157	0.2710218426
158	0.2710218247
159	0.2707871791
160	0.2707803191
161	0.2706339566
162	0.2704625541
163	0.2701735436
164	0.2700171521
165	0.2700113671
166	0.2699600922
167	0.2699572464
168	0.2698687745
169	0.2697039558
170	0.2696786169
171	0.2694954347
172	0.269292026
173	0.2691305792
174	0.2689215066
175	0.2686800412
176	0.2684577561
177	0.2682559933
178	0.2682503646
179	0.2680791532
180	0.2680210501
181	0.2678544483
182	0.2676727769
183	0.2673995059
184	0.2672581058
185	0.2671454383
186	0.2668344053
187	0.2668297019
188	0.2666585471
189	0.2663836644
190	0.266241432
191	0.2659273383
192	0.265617722
193	0.2654098702
194	0.2654097398
195	0.2652404201
196	0.2650080067
197	0.2647005241
198	0.2645095012
199	0.2644335484
